Goods,Building,max_supply,current_output,level
51,212,5.0,0.4303262675296527,5
14,213,350.0,39.45172171071133,5
13,214,359.99999999999994,73.84685761535953,8
49,214,159.99999999999997,32.82082560682645,8
7,215,120.00000000000001,140.4,8
39,215,64.0,74.88,8
9,216,160.00000000000003,68.12053732546953,4
32,216,20.000000000000004,8.515067165683691,4
36,216,100.00000000000001,42.57533582841845,4
16,217,50.0,2.2069118378932986,1
12,221,120.0,68.5588059802933,3
48,221,60.0,34.27940299014665,3
8,222,100.0,37.79653611151445,2
20,223,159.99999999999997,171.2,8
7,224,150.0,163.5,10
39,224,80.0,87.2,10
5,229,90.0,30.659416197577176,6
18,229,120.0,40.87922159676957,6
12,230,319.99999999999994,182.82348261411542,8
48,230,159.99999999999997,91.41174130705771,8
8,231,150.0,56.69480416727168,3
7,233,90.0,94.5,6
39,233,48.0,50.4,6
9,234,60.0,4.855620449903351,2
36,234,50.0,4.046350374919459,2
8,239,100.0,37.79653611151445,2
31,240,200.0,27.241581721955544,5
7,241,135.0,145.8,9
39,241,72.0,77.76,9
9,242,80.0,34.06026866273476,2
32,242,10.0,4.257533582841845,2
36,242,50.0,21.287667914209223,2
12,246,280.0,159.97054728735102,7
48,246,140.0,79.98527364367551,7
14,247,420.0,47.34206605285361,6
1,248,75.0,3.87847532214286,5
2,248,75.0,3.87847532214286,5
10,249,160.0,12.94832119974227,4
26,249,40.0,3.2370802999355677,4
23,250,160.00000000000003,12.948321199742272,4
20,251,199.99999999999997,218.0,10
7,252,225.00000000000003,256.5,15
39,252,120.00000000000001,136.8,15
16,254,50.0,2.2069118378932986,1
1,255,59.99999999999999,3.102780257714288,4
2,255,59.99999999999999,3.102780257714288,4
10,256,80.0,6.474160599871135,2
26,256,20.0,1.6185401499677838,2
0,257,250.0,8.580298225868214,5
7,258,120.00000000000001,140.4,8
39,258,64.0,74.88,8
9,259,79.99999999999999,34.06026866273475,2
32,259,9.999999999999998,4.257533582841844,2
36,259,49.99999999999999,21.28766791420922,2
23,263,240.00000000000003,19.422481799613408,6
12,265,200.0,114.26467663382216,5
48,265,100.0,57.13233831691108,5
7,266,105.0,121.8,7
39,266,56.0,64.96,7
9,267,79.99999999999999,34.06026866273475,2
32,267,9.999999999999998,4.257533582841844,2
36,267,49.99999999999999,21.28766791420922,2
30,268,65.0,4.3364493048531,1
1,269,45.0,2.327085193285716,3
2,269,45.0,2.327085193285716,3
24,270,240.0,20.304417721694538,6
10,271,200.0,16.185401499677837,5
26,271,50.0,4.046350374919459,5
7,272,104.99999999999999,111.3,7
39,272,56.0,59.36,7
14,274,279.99999999999994,31.56137736856906,4
7,275,45.0,45.9,3
39,275,24.0,24.48,3
8,276,100.0,37.79653611151445,2
7,278,59.99999999999999,61.8,4
39,278,32.0,32.96,4
9,279,40.0,17.03013433136738,1
32,279,5.0,2.1287667914209223,1
36,279,25.0,10.643833957104611,1
10,280,40.0,3.2370802999355677,1
26,280,10.0,0.8092700749838919,1
12,281,120.0,68.5588059802933,3
48,281,60.0,34.27940299014665,3
7,282,120.0,128.4,8
39,282,64.0,68.48,8
9,283,80.0,34.06026866273476,2
32,283,10.0,4.257533582841845,2
36,283,50.0,21.287667914209223,2
12,286,120.0,68.5588059802933,3
48,286,60.0,34.27940299014665,3
13,287,90.0,18.461714403839885,2
49,287,40.0,8.205206401706615,2
10,288,120.0,9.711240899806702,3
26,288,30.0,2.4278102249516755,3
7,289,104.99999999999999,111.3,7
39,289,56.0,59.36,7
5,292,59.99999999999999,20.43961079838478,4
18,292,80.0,27.25281439784638,4
10,293,160.0,12.94832119974227,4
26,293,40.0,3.2370802999355677,4
1,294,30.0,1.551390128857144,2
2,294,30.0,1.551390128857144,2
8,295,150.0,56.69480416727168,3
7,297,59.99999999999999,61.8,4
39,297,32.0,32.96,4
9,298,200.0,85.15067165683689,5
32,298,25.0,10.643833957104611,5
36,298,125.0,53.21916978552305,5
33,301,320.0,36.81389398218561,4
13,302,449.99999999999994,92.3085720191994,10
49,302,199.99999999999997,41.02603200853307,10
10,303,80.0,6.474160599871135,2
26,303,20.0,1.6185401499677838,2
24,304,80.0,6.768139240564846,2
7,305,180.0,199.8,12
39,305,96.0,106.56,12
11,307,210.0,128.94489095546012,6
38,307,360.0,221.04838449507452,6
10,309,120.0,9.711240899806702,3
26,309,30.0,2.4278102249516755,3
7,310,150.0,178.5,10
39,310,80.0,95.2,10
13,312,359.99999999999994,73.84685761535953,8
49,312,159.99999999999997,32.82082560682645,8
24,313,40.0,3.384069620282423,1
7,314,30.0,30.3,2
39,314,16.0,16.16,2
33,316,320.0,36.81389398218561,4
7,317,30.0,30.3,2
