Goods,Building,max_demand,current_input,level
14,2386,99.99999999999999,61.44216105865485,10
10,2389,360.0,286.87861234394524,12
14,2391,79.99999999999999,49.15372884692387,8
14,2396,99.99999999999999,61.44216105865485,10
9,2397,70.0,95.99843429626834,7
10,2397,140.0,111.56390480042316,7
26,2397,70.0,74.10423452768731,7
10,2398,240.0,191.25240822929683,8
21,2398,120.0,186.58200899550224,8
14,2404,79.99999999999999,49.15372884692387,8
33,2405,5.0,35.46483620306717,1
14,2414,90.0,55.29794495278937,9
14,2421,200.0,122.88432211730971,20
9,2422,75.0,102.85546531743034,3
10,2422,225.0,179.2991327149658,3
10,2423,119.99999999999999,95.6262041146484,4
24,2423,80.0,116.50485436893203,4
9,2424,50.0,68.57031021162024,5
10,2424,100.0,79.68850342887369,5
26,2424,50.0,52.931596091205215,5
14,2432,60.0,36.86529663519291,6
33,2433,15.0,106.39450860920152,3
14,2440,70.0,43.0095127410584,7
14,2444,40.0,24.57686442346194,4
14,2449,40.0,24.57686442346194,4
14,2454,119.99999999999999,73.73059327038581,12
10,2455,119.99999999999999,95.6262041146484,4
14,2459,129.99999999999997,79.87480937625129,13
9,2465,40.0,54.85624816929619,2
10,2465,80.0,63.750802743098944,2
5,2467,30.0,26.953275514331054,15
18,2468,15.0,17.968850342887368,3
14,2472,109.99999999999999,67.58637716452033,11
14,2478,99.99999999999999,61.44216105865485,10
9,2479,240.0,329.13748901577713,8
20,2479,79.99999999999999,1100.2542056074765,8
14,2484,119.99999999999999,73.73059327038581,12
10,2485,150.0,119.53275514331052,5
21,2485,75.0,116.6137556221889,5
14,2489,170.0,104.45167379971325,17
9,2490,50.0,68.57031021162024,2
10,2490,150.0,119.53275514331052,2
10,2491,300.0,239.06551028662105,10
21,2491,150.0,233.2275112443778,10
14,2495,150.0,92.16324158798228,15
9,2496,25.0,34.28515510581012,1
10,2496,75.0,59.76637757165526,1
10,2497,180.0,143.43930617197262,6
21,2497,90.0,139.9365067466267,6
14,2499,129.99999999999997,79.87480937625129,13
33,2500,10.0,70.92967240613434,2
10,2501,360.0,286.87861234394524,12
10,2502,180.0,143.43930617197262,6
21,2502,90.0,139.9365067466267,6
14,2506,119.99999999999999,73.73059327038581,12
10,2507,150.0,119.53275514331052,5
21,2507,75.0,116.6137556221889,5
14,2512,119.99999999999999,73.73059327038581,12
9,2513,99.99999999999999,137.14062042324045,10
10,2513,199.99999999999997,159.37700685774735,10
26,2513,99.99999999999999,105.86319218241042,10
10,2515,209.99999999999997,167.3458572006347,7
14,2518,109.99999999999999,67.58637716452033,11
14,2522,90.0,55.29794495278937,9
10,2523,300.0,239.06551028662105,10
9,2524,99.99999999999999,137.14062042324045,10
10,2524,199.99999999999997,159.37700685774735,10
26,2524,99.99999999999999,105.86319218241042,10
14,2528,99.99999999999999,61.44216105865485,10
9,2529,79.99999999999999,109.71249633859236,8
10,2529,159.99999999999997,127.50160548619786,8
26,2529,79.99999999999999,84.69055374592833,8
10,2531,300.0,239.06551028662105,10
14,2535,60.0,36.86529663519291,6
18,2544,5.0,5.989616780962455,1
14,2545,90.0,55.29794495278937,9
10,2546,300.0,239.06551028662105,10
21,2546,150.0,233.2275112443778,10
9,2547,240.0,329.13748901577713,8
20,2547,79.99999999999999,1100.2542056074765,8
18,2552,5.0,5.989616780962455,1
14,2553,160.0,98.30745769384777,16
10,2554,300.0,239.06551028662105,10
18,2558,5.0,5.989616780962455,1
10,2898,30.0,23.906551028662104,6
31,2898,30.0,17.838079080404448,6
10,2900,30.0,23.906551028662104,6
31,2900,30.0,17.838079080404448,6
10,3704,25.0,19.922125857218422,5
31,3704,25.0,14.865065900337044,5
10,3706,15.0,11.953275514331052,3
31,3706,15.0,8.919039540202224,3
10,3708,30.0,23.906551028662104,6
31,3708,30.0,17.838079080404448,6
10,3710,15.0,11.953275514331052,3
31,3710,15.0,8.919039540202224,3
10,3714,20.0,15.937700685774736,4
31,3714,20.0,11.892052720269636,4
10,3716,30.0,23.906551028662104,6
31,3716,30.0,17.838079080404448,6
10,3720,10.0,7.968850342887368,2
31,3720,10.0,5.946026360134818,2
10,3723,10.0,7.968850342887368,2
31,3723,10.0,5.946026360134818,2
10,3725,5.0,3.984425171443684,1
31,3725,5.0,2.973013180067409,1
10,3728,5.0,3.984425171443684,1
31,3728,5.0,2.973013180067409,1
10,3731,20.0,15.937700685774736,4
31,3731,20.0,11.892052720269636,4
10,3733,30.0,23.906551028662104,6
31,3733,30.0,17.838079080404448,6
10,3736,20.0,15.937700685774736,4
31,3736,20.0,11.892052720269636,4
10,3738,20.0,15.937700685774736,4
31,3738,20.0,11.892052720269636,4
10,3740,30.0,23.906551028662104,6
31,3740,30.0,17.838079080404448,6
10,3742,20.0,15.937700685774736,4
31,3742,20.0,11.892052720269636,4
10,3744,20.0,15.937700685774736,4
31,3744,20.0,11.892052720269636,4
10,3746,35.0,27.89097620010579,7
31,3746,35.0,20.81109226047186,7
10,3748,25.0,19.922125857218422,5
31,3748,25.0,14.865065900337044,5
10,3750,35.0,27.89097620010579,7
31,3750,35.0,20.81109226047186,7
10,3752,15.0,11.953275514331052,3
31,3752,15.0,8.919039540202224,3
10,3754,30.0,23.906551028662104,6
31,3754,30.0,17.838079080404448,6
10,3756,35.0,27.89097620010579,7
31,3756,35.0,20.81109226047186,7
10,3758,10.0,7.968850342887368,2
31,3758,10.0,5.946026360134818,2
