name,code,base_price,current_price,pop_demand
ammunition,0,50,50,0
small_arms,1,60,98.00280978573556,0
artillery,2,70,114.3366114166915,0
tanks,3,80,80,0
aeroplanes,4,80,80,0
manowars,5,70,85.06885838684413,0
ironclads,6,80,80,0
grain,7,20,19.18759981886363,10113.844938268758
fish,8,20,24.106585928236946,311.8856932838622
fabric,9,20,16.378474769323066,646.4075129275988
wood,10,20,27.59224175538968,1488.3322758224026
groceries,11,30,48.16463128165165,584.052128684291
clothes,12,30,31.73892338208778,2296.0552830325064
furniture,13,30,33.05382529063391,1638.3460844590277
paper,14,30,41.02478260964475,106.87435463683855
services,15,30,15.688217939579847,639.5740935459489
transportation,16,30,30,0
electricity,17,30,30,0
clippers,18,60,47.27517352782215,0
steamers,19,70,70,0
silk,20,40,40,0
dye,21,40,70.0,0
sulfur,22,50,50,0
coal,23,30,30,0
iron,24,40,68.5426807729485,0
lead,25,40,40,0
hardwood,26,40,63.723226854956316,0
rubber,27,40,40,0
oil,28,40,40,0
engines,29,60,60,0
steel,30,50,50,0
glass,31,40,55.710030726026204,46.654980793358355
fertilizer,32,30,30,0
tools,33,40,68.16907711655895,0
explosives,34,50,50,0
porcelain,35,70,120.88759311680269,602.991887306482
meat,36,30,44.20143654225472,550.8362137947645
fruit,37,30,42.518170640760836,95.07776238646682
liquor,38,30,33.05788366853777,3408.062166931146
wine,39,50,66.13392378016808,611.6237658962538
tea,40,50,72.26541025302437,198.88950410374616
coffee,41,50,50,0
sugar,42,30,50.88493972778438,104.40692878148474
tobacco,43,40,52.23150831910205,85.26328667664595
opium,44,50,50,0
automobiles,45,100,100,0
telephones,46,70,70,0
radios,47,80,80,0
luxury_clothes,48,60,105.0,133.13558378487687
luxury_furniture,49,60,100.64239001847551,703.4905351908945
gold,50,100,100,0
fine_art,51,200,293.14124376532084,4.036394093107616
