,Country,Answer
0,SWE,krakow
1,DAN,rheinland
2,NOR,rheinland
3,HUN,ragusa
4,TUR,alexandria
5,ENG,champagne
6,SCO,white_sea
7,LIT,crimea
8,LIV,krakow
9,POL,kiev
10,TEU,krakow
11,BRI,african_great_lakes
12,BUR,rheinland
13,FRA,rheinland
14,PRO,african_great_lakes
15,BOH,wien
16,BRA,wien
17,HAB,krakow
18,SWI,rheinland
19,ARA,tunis
20,CAS,tunis
21,POR,tunis
22,GEN,champagne
23,MLO,champagne
24,NAP,champagne
25,PAP,alexandria
26,SAV,alexandria
27,VEN,wien
28,LAN,alexandria
29,BRB,champagne
30,CRI,astrakhan
31,KAZ,astrakhan
32,MOS,kiev
33,NOV,kiev
34,NOG,samarkand
35,GOL,samarkand
36,AKK,persia
37,MAM,ethiopia
38,MOR,timbuktu
39,TUN,african_great_lakes
40,TLC,timbuktu
41,SHY,girin
42,QAR,lahore
43,TIM,lahore
44,TRS,lahore
45,FRS,gujarat
46,QOM,lahore
47,AZT,rio_grande
48,ETH,katsina
49,KON,african_great_lakes
50,MAL,katsina
51,SON,katsina
52,ADA,gujarat
53,AYU,burma
54,BEI,hangzhou
55,CHG,african_great_lakes
56,DAI,chengdu
57,KHA,xian
58,KHM,burma
59,KOR,girin
60,LNA,burma
61,LXA,burma
62,MAJ,philippines
63,MLC,hangzhou
64,MNG,xian
65,OIR,xian
66,MJZ,african_great_lakes
67,KRC,african_great_lakes
68,KAS,lahore
69,BNG,lhasa
70,BAH,doab
71,DLH,ganges_delta
72,VIJ,deccan
73,GUJ,deccan
74,JNP,ganges_delta
75,MLW,doab
76,MER,deccan
77,ORI,burma
78,SRH,doab
79,AVA,chengdu
80,SUN,philippines
