,Country,Answer
0,SWE,krakow
1,DAN,rheinland
2,TUR,alexandria
3,ENG,champagne
4,SCO,st_lawrence
5,PRU,krakow
6,PLC,kiev
7,FRA,rheinland
8,BAV,krakow
9,HAB,krakow
10,PAL,wien
11,SAX,krakow
12,SWI,rheinland
13,POR,carribean_trade
14,SPA,carribean_trade
15,PAP,champagne
16,SAV,champagne
17,TUS,champagne
18,VEN,wien
19,NED,champagne
20,CRI,astrakhan
21,RUS,kiev
22,OMA,gujarat
23,RAS,gujarat
24,ALG,timbuktu
25,MOR,timbuktu
26,TUN,katsina
27,KZH,lahore
28,KHI,lahore
29,BUK,lahore
30,PER,lahore
31,ETH,katsina
32,KBO,african_great_lakes
33,SOF,katsina
34,LND,african_great_lakes
35,ANN,gulf_of_siam
36,ATJ,hangzhou
37,AYU,burma
38,BEI,hangzhou
39,JAP,girin
40,KHM,burma
41,KOR,girin
42,LNA,burma
43,LXA,burma
44,MTR,philippines
45,QNG,xian
46,TAU,chengdu
47,TOK,gulf_of_siam
48,ZUN,xian
49,KSD,african_great_lakes
50,MAR,doab
51,MUG,doab
52,MYS,ganges_delta
53,C01,carribean_trade
54,C02,ohio
55,C04,ivory_coast
56,C05,amazonas_node
57,C08,rio_grande
58,C09,ivory_coast
59,C10,cuiaba
60,C11,cuiaba
61,C12,amazonas_node
